,Countries,GDP(US$millions)
2,United States,"20,807,269"
3,China,"14,860,775"
4,Japan,"4,910,580"
5,Germany,"3,780,553"
6,United Kingdom,"2,638,296"
7,India,"2,592,583"
8,France,"2,551,451"
9,Italy,"1,848,222"
10,Canada,"1,600,264"
11,South Korea,"1,586,786"
12,Russia,"1,464,078"
13,Brazil,"1,363,767"
14,Australia,"1,334,688"
15,Spain,"1,247,464"
16,Indonesia,"1,088,768"
17,Mexico,"1,040,372"
18,Netherlands,"886,339"
19,Switzerland,"707,868"
20,Saudi Arabia,"680,897"
21,Turkey,"649,436"
22,Taiwan,"635,547"
23,Iran,"610,662"
24,Poland,"580,894"
25,Sweden,"529,054"
26,Thailand,"509,200"
27,Belgium,"503,416"
28,Nigeria,"442,976"
29,Austria,"432,894"
30,Ireland,"399,064"
31,Israel,"383,425"
32,Argentina,"382,760"
33,Philippines,"367,362"
34,Norway,"366,386"
35,Egypt,"361,875"
36,United Arab Emirates,"353,899"
37,,"341,319"
38,Vietnam,"340,602"
39,Denmark,"339,626"
40,Singapore,"337,451"
41,Malaysia,"336,330"
42,Bangladesh,"317,768"
43,Pakistan,"284,200"
44,South Africa,"282,588"
45,Finland,"267,856"
46,Colombia,"264,933"
47,Romania,"248,624"
48,Chile,"245,414"
49,Czech Republic,"241,975"
50,Portugal,"221,716"
51,Peru,"195,761"
52,Greece,"194,376"
53,New Zealand,"193,545"
54,Iraq,"178,112"
55,Kazakhstan,"165,730"
56,Hungary,"149,939"
57,Qatar,"147,791"
58,Algeria,"147,323"
59,Ukraine,"142,250"
60,Morocco,"112,220"
61,Kuwait,"108,656"
62,Slovakia,"101,892"
63,Kenya,"101,048"
64,Ethiopia,"95,588"
65,,"93,968"
66,Ecuador,"93,078"
67,Sri Lanka,"81,120"
68,Dominican Republic,"77,883"
69,Guatemala,"76,191"
70,Myanmar,"70,890"
71,Luxembourg,"68,613"
72,Bulgaria,"67,917"
73,Ghana,"67,337"
74,Tanzania,"64,123"
75,Angola,"62,724"
76,Oman,"62,305"
77,Côte d'Ivoire,"61,502"
78,Panama,"60,286"
79,Uzbekistan,"59,771"
80,Costa Rica,"59,645"
81,Belarus,"57,708"
82,Croatia,"56,768"
83,Lithuania,"55,064"
84,Uruguay,"54,135"
85,Serbia,"51,999"
86,Slovenia,"51,802"
87,Venezuela,"48,610"
88,Turkmenistan,"47,986"
89,"Congo, Democratic Republic of the","46,062"
90,Jordan,"42,609"
91,Azerbaijan,"41,666"
92,Tunisia,"39,226"
93,Cameroon,"39,036"
94,Bolivia,"38,938"
95,Uganda,"37,733"
96,Paraguay,"35,606"
97,Bahrain,"34,624"
98,Latvia,"33,015"
99,Sudan,"32,576"
100,Nepal,"32,158"
101,Estonia,"30,468"
102,Cambodia,"26,316"
103,,"26,348"
104,El Salvador,"24,784"
105,Senegal,"24,409"
106,Honduras,"23,984"
107,Papua New Guinea,"23,283"
108,Cyprus,"23,246"
109,Trinidad and Tobago,"22,718"
110,Libya,"21,805"
111,Yemen,"20,948"
112,Iceland,"20,805"
113,Afghanistan,"19,006"
114,Zambia,"18,909"
115,Bosnia and Herzegovina,"18,893"
116,Lebanon,"18,734"
117,Laos,"18,653"
118,Mali,"17,685"
119,Georgia,"16,316"
120,Burkina Faso,"16,082"
121,Botswana,"15,872"
122,Benin,"15,292"
123,Gabon,"15,145"
124,Palestine,"14,750"
125,Mozambique,"14,557"
126,Malta,"14,290"
127,Guinea,"14,238"
128,Jamaica,"14,228"
129,Madagascar,"14,199"
130,Albania,"14,034"
131,Zimbabwe,"14,002"
132,Mongolia,"13,385"
133,Niger,"12,971"
134,Armenia,"12,813"
135,North Macedonia,"12,510"
136,Nicaragua,"11,905"
137,The Bahamas,"11,560"
138,Mauritius,"11,341"
139,Moldova,"11,241"
140,Brunei,"10,647"
141,Chad,"10,510"
142,Rwanda,"10,428"
143,Namibia,"10,252"
144,Equatorial Guinea,"10,028"
145,"Congo, Republic of the","9,964"
146,Haiti,"8,347"
147,Malawi,"8,330"
148,Tajikistan,"7,898"
149,Kosovo,"7,484"
150,Kyrgyzstan,"7,480"
151,Mauritania,"7,428"
152,Guyana,"6,806"
153,Togo,"5,719"
154,Montenegro,"4,943"
155,Somalia,"4,918"
156,Maldives,"4,712"
157,Barbados,"4,630"
158,South Sudan,"4,177"
159,Sierra Leone,"4,140"
160,Fiji,"3,932"
161,Eswatini,"3,848"
162,Djibouti,"3,408"
163,Burundi,"3,131"
164,Liberia,"3,068"
165,Bhutan,"2,587"
166,Suriname,"2,538"
167,Central African Republic,"2,321"
168,,"2,288"
169,Eritrea,"2,075"
170,Timor-Leste,"1,920"
171,Lesotho,"1,906"
172,Cabo Verde,"1,870"
173,The Gambia,"1,806"
174,Saint Lucia,"1,770"
175,Belize,"1,556"
176,Solomon Islands,"1,551"
177,San Marino,"1,410"
178,Guinea-Bissau,"1,392"
179,Antigua and Barbuda,"1,389"
180,Comoros,"1,200"
181,Seychelles,"1,198"
182,Grenada,"1,074"
183,Saint Kitts and Nevis,871
184,Vanuatu,864
185,Samoa,829
186,Saint Vincent and the Grenadines,777
187,Dominica,545
188,Tonga,503
189,São Tomé and Príncipe,417
190,"Micronesia, Federated States of",395
191,Palau,251
192,Marshall Islands,225
193,Kiribati,194
194,Nauru,114
195,Tuvalu,45
196,Syria,N/A
